filename,H,pitch,accurate,correct,performance,,,,,,,,,,
DJI_20250318171709_0007_V.JPG,60,-90,0.709738248,1,0.709738248,,,,,,,,,,
DJI_20250318171526_0001_V.JPG,60,-90,0.38953991,1,0.38953991,,,,,,,,,,
DJI_20250318171529_0002_V.JPG,60,-90,0.523483492,1,0.523483492,,,,,,,,,,
DJI_20250602163816_0044_V.JPG,60,-90,0.444934088,1,0.444934088,,,,,,,,,,
DJI_20250602162919_0067_V.JPG,60,-90,0.344118442,1,0.344118442,,,,,,,,,,
DJI_20250318171815_0011_V.JPG,60,-90,0.481994213,1,0.481994213,,,,,,,,,,
DJI_20250318173221_0058_V.JPG,60,-90,0.69036459,1,0.69036459,,,,,,,,,,
DJI_20250318173131_0057_V.JPG,60,-90,0.861591921,1,0.861591921,,,,,,,,,,
DJI_20250318173235_0062_V.JPG,60,-90,0.657766271,1,0.657766271,,,,,,,,,,
DJI_20250601173622_0034_V.JPG,60,-90,0.553902611,1,0.553902611,,,,,,,,,,
DJI_20250601173044_0007_V.JPG,60,-90,0,1,0,,,,,,,,,,
DJI_20250601173600_0032_V.JPG,60,-90,0.364559499,1,0.364559499,,,,,,,,,,
DJI_20250601173601_0033_V.JPG,60,-90,0.399492946,1,0.399492946,,,,,,,,,,
DJI_20250402175401_0031_V.JPG,60,-90,0.971159869,1,0.971159869,,,,,,,,,,
DJI_20250601173051_0008_V.JPG,70,-90,0,1,0,,,,,,,,,,
DJI_20250602163548_0019_V.JPG,70,-90,0.533885327,1,0.533885327,,,,,,,,,,
DJI_20250601173058_0009_V.JPG,70,-90,0,1,0,,,,,,,,,,
DJI_20250602162930_0069_V.JPG,70,-90,0.407363472,1,0.407363472,,,,,,,,,,
DJI_20250602161721_0019_V.JPG,70,-90,0,1,0,,,,,,,,,,
DJI_20250602163829_0047_V.JPG,70,-90,0.599895706,1,0.599895706,,,,,,,,,,
DJI_20250527174615_0061_V.JPG,70,-90,0.376953134,1,0.376953134,,,,,,,,,,
DJI_20250527174610_0059_V.JPG,70,-90,0,1,0,,,,,,,,,,
DJI_20250527174620_0063_V.JPG,70,-90,0,1,0,,,,,,,,,,
DJI_20250602162938_0071_V.JPG,80,-90,0.267865319,1,0.267865319,,,,,,,,,,
DJI_20250601173108_0011_V.JPG,80,-90,0,1,0,,,,,,,,,,
DJI_20250602163833_0048_V.JPG,80,-90,0.414669934,1,0.414669934,,,,,,,,,,
DJI_20250602162934_0070_V.JPG,80,-90,0.34498804,1,0.34498804,,,,,,,,,,
DJI_20250527174702_0065_V.JPG,80,-90,0.42644882,0,0,,,,,,,,,,
DJI_20250527174722_0068_V.JPG,80,-90,0.441457558,1,0.441457558,,,,,,,,,,
DJI_20250527174708_0066_V.JPG,80,-90,0.283777676,1,0.283777676,,,,,,,,,,
DJI_20250603180348_0022_V.JPG,20,-89.9,0.65718589,1,0.65718589,,,,,,,,,,
DJI_20250602162823_0055_V.JPG,30,-89.9,0.418514951,1,0.418514951,,,,,,,,,,
DJI_20250316143106_0008_V.JPG,30,-89.9,0.834763991,1,0.834763991,,,,,,,,,,
DJI_20250316143059_0006_V.JPG,30,-89.9,0.688528228,1,0.688528228,,,,,,,,,,
DJI_20250602161902_0021_V.JPG,30,-89.9,0.61999863,1,0.61999863,,,,,,,,,,
DJI_20250602161555_0009_V.JPG,30,-89.9,0.261336497,1,0.261336497,,,,,,,,,,
DJI_20250401164858_0054_V.JPG,30,-89.9,0.809531614,1,0.809531614,,,,,,,,,,
DJI_20250602162821_0054_V.JPG,30,-89.9,0.361683225,1,0.361683225,,,,,,,,,,
DJI_20250514142903_0045_V.JPG,30,-89.9,0.842267818,1,0.842267818,,,,,,,,,,
DJI_20250316143203_0012_V.JPG,30,-89.9,0.761611492,1,0.761611492,,,,,,,,,,
DJI_20250602163519_0011_V.JPG,30,-89.9,0.440318013,1,0.440318013,,,,,,,,,,
DJI_20250514143028_0046_V.JPG,30,-89.9,0.5771178,1,0.5771178,,,,,,,,,,
DJI_20250602162829_0056_V.JPG,30,-89.9,0.409079528,1,0.409079528,,,,,,,,,,
DJI_20250602161547_0008_V.JPG,30,-89.9,0.506981025,1,0.506981025,,,,,,,,,,
DJI_20250602162832_0057_V.JPG,30,-89.9,0.3481056,1,0.3481056,,,,,,,,,,
DJI_20250602161914_0022_V.JPG,30,-89.9,0.579277503,1,0.579277503,,,,,,,,,,
DJI_20250602161932_0024_V.JPG,30,-89.9,0.484178428,1,0.484178428,,,,,,,,,,
DJI_20250601173739_0036_V.JPG,30,-89.9,0.959445261,1,0.959445261,,,,,,,,,,
DJI_20250602163759_0039_V.JPG,40,-89.9,0.947641965,1,0.947641965,,,,,,,,,,
DJI_20250602162428_0042_V.JPG,40,-89.9,0.521002059,1,0.521002059,,,,,,,,,,
DJI_20250602161617_0011_V.JPG,40,-89.9,0.383019363,1,0.383019363,,,,,,,,,,
DJI_20250602161641_0012_V.JPG,40,-89.9,0.467779309,1,0.467779309,,,,,,,,,,
DJI_20250602162835_0058_V.JPG,40,-89.9,0.302717344,1,0.302717344,,,,,,,,,,
DJI_20250602163751_0038_V.JPG,40,-89.9,0.866907799,1,0.866907799,,,,,,,,,,
DJI_20250602163531_0014_V.JPG,40,-89.9,0.190997928,1,0.190997928,,,,,,,,,,
DJI_20250602162841_0060_V.JPG,40,-89.9,0.437845085,1,0.437845085,,,,,,,,,,
DJI_20250602162708_0047_V.JPG,40,-89.9,0,1,0,,,,,,,,,,
DJI_20250602162714_0048_V.JPG,40,-89.9,0.683220449,1,0.683220449,,,,,,,,,,
DJI_20250602162718_0049_V.JPG,40,-89.9,0,1,0,,,,,,,,,,
DJI_20250602161653_0014_V.JPG,40,-89.9,0.314848079,1,0.314848079,,,,,,,,,,
DJI_20250601173945_0041_V.JPG,40,-89.9,0.781954798,1,0.781954798,,,,,,,,,,
DJI_20250601173949_0042_V.JPG,40,-89.9,0.466831943,1,0.466831943,,,,,,,,,,
DJI_20250602162901_0063_V.JPG,40,-89.9,0.557449821,1,0.557449821,,,,,,,,,,
DJI_20250602162720_0050_V.JPG,40,-89.9,0,1,0,,,,,,,,,,
DJI_20250601173958_0043_V.JPG,50,-89.9,0.452391329,1,0.452391329,,,,,,,,,,
DJI_20250602162432_0044_V.JPG,50,-89.9,0.801575284,1,0.801575284,,,,,,,,,,
DJI_20250602163536_0016_V.JPG,50,-89.9,0.731342629,1,0.731342629,,,,,,,,,,
DJI_20250602162659_0046_V.JPG,50,-89.9,0.853014921,1,0.853014921,,,,,,,,,,
DJI_20250527174418_0036_V.JPG,50,-89.9,0,1,0,,,,,,,,,,
DJI_20250601173732_0035_V.JPG,50,-89.9,0.76384755,1,0.76384755,,,,,,,,,,
DJI_20250318172002_0016_V.JPG,50,-89.9,0.998083179,1,0.998083179,,,,,,,,,,
DJI_20250527174417_0035_V.JPG,50,-89.9,0,0,0,,,,,,,,,,
