filename,H,pitch,accurate,correct,performance,,
DJI_20250601173600_0032_V.JPG,68.608,-90,0.07680909,1,0.07680909,,
DJI_20250316143054_0005_V.JPG,35.086,-73.7,0.52888891,1,0.52888891,,
DJI_20250316143059_0006_V.JPG,35.092,-89.9,0.389337102,1,0.389337102,,
DJI_20250316143102_0007_V.JPG,35.099,-90,0.382367175,1,0.382367175,,0.290268785
DJI_20250316143106_0008_V.JPG,34.955,-89.9,0.152586411,1,0.152586411,,
DJI_20250316143203_0012_V.JPG,36.407,-89.9,0.302260904,1,0.302260904,,
DJI_20250318171526_0001_V.JPG,61.476,-90,0.391603755,1,0.391603755,,
DJI_20250318171529_0002_V.JPG,61.527,-90,0.518916946,1,0.518916946,,
DJI_20250318173943_0015_V.JPG,55.41,-90,0.948668085,1,0.948668085,,
DJI_20250318173946_0016_V.JPG,55.424,-90,0.968871651,1,0.968871651,,
DJI_20250401163337_0001_V.JPG,27.708,-90,0.372372056,1,0.372372056,,
DJI_20250401163432_0002_V.JPG,26.485,-90,0.371336196,1,0.371336196,,
DJI_20250401163439_0003_V.JPG,26.501,-90,0.258055214,1,0.258055214,,
DJI_20250401164543_0035_V.JPG,39.518,-90,0.508421813,1,0.508421813,,
DJI_20250527174612_0060_V.JPG,79.309,-89.9,0.036555925,1,0.036555925,,
DJI_20250527174615_0061_V.JPG,79.274,-90,0.080927057,1,0.080927057,,
DJI_20250527174618_0062_V.JPG,79.451,-89.9,0,1,0,,
DJI_20250527174620_0063_V.JPG,79.558,-90,0,1,0,,
DJI_20250527174648_0064_V.JPG,78.968,-89.9,0.436863196,1,0.436863196,,
DJI_20250527174702_0065_V.JPG,108.761,-90,0.096877519,1,0.096877519,,
DJI_20250602162008_0026_V.JPG,55.627,-90,0.202779505,1,0.202779505,,
DJI_20250602162017_0027_V.JPG,66.695,-89.9,0.198771698,1,0.198771698,,
DJI_20250602162024_0028_V.JPG,78.29,-89.9,0,1,0,,
DJI_20250602162030_0029_V.JPG,87.729,-89.9,0,1,0,,
DJI_20250602162428_0042_V.JPG,40.188,-89.9,0.08678347,1,0.08678347,,
DJI_20250602162431_0043_V.JPG,45.857,-90,0.170527965,1,0.170527965,,
DJI_20250602162432_0044_V.JPG,51.601,-89.9,0.689855781,1,0.689855781,,
DJI_20250602162656_0045_V.JPG,52.813,-90,0.838289712,1,0.838289712,,
DJI_20250602162659_0046_V.JPG,52.878,-89.9,0.777920174,1,0.777920174,,
DJI_20250602162708_0047_V.JPG,45.832,-89.9,0.522756428,1,0.522756428,,
DJI_20250602162714_0048_V.JPG,45.887,-89.9,0.613837979,1,0.613837979,,
DJI_20250602162718_0049_V.JPG,46.744,-89.9,0,1,0,,
DJI_20250602162720_0050_V.JPG,49.116,-89.9,0,1,0,,
DJI_20250602162934_0070_V.JPG,86.106,-90,0.124111665,1,0.124111665,,
DJI_20250602162938_0071_V.JPG,84.175,-90,0.139065041,1,0.139065041,,
DJI_20250602163519_0011_V.JPG,36.705,-89.9,0.101859682,1,0.101859682,,
DJI_20250602163525_0012_V.JPG,39.11,-90,0.082255148,1,0.082255148,,
DJI_20250602163528_0013_V.JPG,41.008,-90,0.087009608,1,0.087009608,,
DJI_20250602163531_0014_V.JPG,43.854,-89.9,0.087604643,1,0.087604643,,
DJI_20250602163533_0015_V.JPG,48.658,-90,0.217151925,1,0.217151925,,
DJI_20250602163536_0016_V.JPG,51.654,-89.9,0.400505465,1,0.400505465,,
DJI_20250602163540_0017_V.JPG,58.669,-90,0.470064265,1,0.470064265,,
DJI_20250602163545_0018_V.JPG,65.639,-89.9,0.211946373,1,0.211946373,,
DJI_20250318171927_0012_V.JPG,60.815,-90,0.99051488,1,0.99051488,,
