filename,H,pitch,accurate,correct,performance,,,
DJI_20250318172002_0016_V.JPG,54.697,-89.9,0.983895028,1,0.983895028,,,
DJI_20250318172007_0017_V.JPG,54.792,-89.9,0.983817101,1,0.983817101,,,
DJI_20250318171958_0015_V.JPG,54.799,-90,0.968818918,1,0.968818918,,,0.457813137
DJI_20250318172445_0037_V.JPG,63.324,-73.3,0.96602184,1,0.96602184,,,
DJI_20250401164605_0039_V.JPG,39.463,-90,0.963761173,1,0.963761173,,,
DJI_20250318171930_0013_V.JPG,60.774,-89.9,0.958118427,1,0.958118427,,,
DJI_20250318171927_0012_V.JPG,60.815,-90,0.955890427,1,0.955890427,,,
DJI_20250318172434_0035_V.JPG,63.269,-73.3,0.948681907,1,0.948681907,,,
DJI_20250402175401_0031_V.JPG,68.693,-90,0.945952072,1,0.945952072,,,
DJI_20250601173739_0036_V.JPG,39.73,-89.9,0.941808974,1,0.941808974,,,
DJI_20250318173938_0013_V.JPG,55.504,-90,0.925962929,1,0.925962929,,,
DJI_20250318172939_0053_V.JPG,65.104,-89.9,0.923787488,1,0.923787488,,,
DJI_20250318173946_0016_V.JPG,55.424,-90,0.907321968,1,0.907321968,,,
DJI_20250602163759_0039_V.JPG,40.015,-89.9,0.9071501,1,0.9071501,,,
DJI_20250318172433_0034_V.JPG,63.236,-73.2,0.898810058,1,0.898810058,,,
DJI_20250318173943_0015_V.JPG,55.41,-90,0.898293587,1,0.898293587,,,
DJI_20250318171932_0014_V.JPG,60.812,-90,0.894745852,1,0.894745852,,,
DJI_20250318172917_0052_V.JPG,65.373,-89.9,0.887530775,1,0.887530775,,,
DJI_20250402175355_0030_V.JPG,68.633,-89.9,0.880003268,1,0.880003268,,,
DJI_20250527173958_0004_V.JPG,64.87,-89.9,0.876679078,1,0.876679078,,,
DJI_20250318171552_0005_V.JPG,61.321,-89.9,0.868062049,1,0.868062049,,,
DJI_20250318172436_0036_V.JPG,63.274,-73.2,0.866182958,1,0.866182958,,,
DJI_20250318171555_0006_V.JPG,61.215,-89.9,0.865015631,1,0.865015631,,,
DJI_20250602163751_0038_V.JPG,42.338,-89.9,0.854108299,1,0.854108299,,,
DJI_20250318173131_0057_V.JPG,64.554,-90,0.849666273,1,0.849666273,,,
DJI_20250401164548_0036_V.JPG,39.484,-90,0.848047524,1,0.848047524,,,
DJI_20250316143054_0005_V.JPG,35.086,-73.7,0.844144634,1,0.844144634,,,
DJI_20250602163802_0040_V.JPG,44.211,-90,0.841563911,1,0.841563911,,,
DJI_20250401164858_0054_V.JPG,36.04,-89.9,0.834536359,1,0.834536359,,,
DJI_20250601173805_0038_V.JPG,50.589,-90,0.831753266,1,0.831753266,,,
DJI_20250401164649_0043_V.JPG,39.604,-90,0.827162575,1,0.827162575,,,
DJI_20250318172419_0031_V.JPG,63.158,-73.3,0.826327848,1,0.826327848,,,
DJI_20250318172330_0023_V.JPG,63.477,-73.3,0.818192805,1,0.818192805,,,
DJI_20250318171729_0009_V.JPG,61.595,-89.9,0.809988767,1,0.809988767,,,
DJI_20250318171550_0004_V.JPG,61.332,-89.9,0.809068374,1,0.809068374,,,
DJI_20250318172057_0021_V.JPG,57.984,-60.6,0.79829343,1,0.79829343,,,
DJI_20250601173255_0014_V.JPG,62.076,-89.9,0.796145855,1,0.796145855,,,
DJI_20250318173103_0056_V.JPG,64.53,-85.6,0.795455079,1,0.795455079,,,
DJI_20250318173843_0009_V.JPG,53.867,-85.2,0.788172431,1,0.788172431,,,
DJI_20250601174520_0012_V.JPG,47.171,-84.4,0.779549726,1,0.779549726,,,
DJI_20250601173454_0031_V.JPG,59.833,-50,0.779122902,1,0.779122902,,,
DJI_20250602162431_0043_V.JPG,45.857,-90,0.7768831,1,0.7768831,,,
DJI_20250601174516_0011_V.JPG,45.135,-84.4,0.77177015,1,0.77177015,,,
DJI_20250316143106_0008_V.JPG,34.955,-89.9,0.769215264,1,0.769215264,,,
DJI_20250602162659_0046_V.JPG,52.878,-89.9,0.764303943,1,0.764303943,,,
DJI_20250602162656_0045_V.JPG,52.813,-90,0.755097345,1,0.755097345,,,
DJI_20250318172011_0018_V.JPG,54.873,-90,0.752977748,1,0.752977748,,,
DJI_20250318173014_0055_V.JPG,64.857,-89.9,0.750944807,1,0.750944807,,,
DJI_20250318172431_0033_V.JPG,63.223,-73.3,0.742712308,1,0.742712308,,,
DJI_20250514143028_0046_V.JPG,36.963,-89.9,0.739052927,1,0.739052927,,,
DJI_20250602162432_0044_V.JPG,51.601,-89.9,0.73819537,1,0.73819537,,,
DJI_20250401164543_0035_V.JPG,39.518,-90,0.73591274,1,0.73591274,,,
DJI_20250601174511_0010_V.JPG,42.995,-84.4,0.732550514,1,0.732550514,,,
DJI_20250318171709_0007_V.JPG,61.465,-90,0.72907187,1,0.72907187,,,
DJI_20250601173753_0037_V.JPG,45.585,-90,0.7199885,1,0.7199885,,,
DJI_20250602162823_0055_V.JPG,34.728,-89.9,0.719969635,1,0.719969635,,,
DJI_20250601174445_0009_V.JPG,47.68,-84.4,0.718415694,1,0.718415694,,,
DJI_20250318172059_0022_V.JPG,57.847,-68.7,0.7174091,1,0.7174091,,,
DJI_20250602163519_0011_V.JPG,36.705,-89.9,0.69757043,1,0.69757043,,,
DJI_20250602163938_0060_V.JPG,46.576,-80.6,0.697248104,1,0.697248104,,,
DJI_20250601173816_0039_V.JPG,55.637,-89.9,0.696498009,1,0.696498009,,,
DJI_20250401163337_0001_V.JPG,27.708,-90,0.695423585,1,0.695423585,,,
DJI_20250601174523_0013_V.JPG,49.679,-84.4,0.695228694,1,0.695228694,,,
